,loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
0,5.520621900561511e-06,0.0006907613715156913,1.982688490897999e-06,0.0005680887843482196,9.999999747378752e-05
1,5.6260082538352035e-06,0.0007303737220354378,2.1010200271120995e-06,0.0006071144598536193,9.999999747378752e-05
2,5.43457696267069e-06,0.0006552027189172804,2.019658495555632e-06,0.0006115615833550692,9.999999747378752e-05
3,5.44692670700897e-06,0.0006619449122808874,2.0091974420211047e-06,0.000591075571719557,9.999999747378752e-05
4,5.433713618509097e-06,0.0006571287522092462,2.791899214571458e-06,0.0008747977553866804,9.999999747378752e-05
5,5.876150794392743e-06,0.000815858191344887,2.9203945359768113e-06,0.0010282451985403895,9.999999747378752e-05
6,5.666466032986743e-06,0.0007671386119909585,2.2137549422041046e-06,0.0007070667343214154,9.999999747378752e-05
7,5.403899630588664e-06,0.0006434694514609873,2.018685972871026e-06,0.0005749916308559477,9.999999747378752e-05
8,5.446427261783053e-06,0.0006557751330547035,2.6149839413847076e-06,0.0008592394879087806,9.999999747378752e-05
9,6.952105953435724e-06,0.0011140421265736222,2.7265921744401565e-06,0.0009207169059664011,9.999999747378752e-05
10,5.658908580446425e-06,0.0007631421322003007,2.019459134317003e-06,0.0005978625267744064,9.999999747378752e-05
11,5.6732735313542234e-06,0.0007393161067739129,2.230355403298745e-06,0.0007116345223039389,9.999999747378752e-05
12,6.038796502454918e-06,0.0009024888859130442,2.8896676212752936e-06,0.0009950477397069335,9.999999747378752e-05
13,5.89185164775093e-06,0.0008567851618863642,2.066345746243314e-06,0.000594443641602993,9.999999747378752e-05
14,5.422623960132316e-06,0.0006616950267925858,1.9902993244613754e-06,0.0005648701335303485,9.999999747378752e-05
15,5.670207466816161e-06,0.0007406224613077939,2.231941061836551e-06,0.0007248949259519577,9.999999747378752e-05
16,5.591924605141685e-06,0.0007361505413427949,2.056995026578079e-06,0.0005944206495769322,9.999999747378752e-05
17,5.556687622427287e-06,0.0007200253894552588,2.100930623782915e-06,0.0006356322555802763,9.999999747378752e-05
18,5.389900397605945e-06,0.000648815999738872,1.990113332794863e-06,0.0005892921471968293,9.999999747378752e-05
19,5.3957415831165336e-06,0.0006411213544197381,2.7716182557924185e-06,0.0009004866005852818,9.999999747378752e-05
20,5.583217999729742e-06,0.0007331758388318121,2.075457450700924e-06,0.0006190018611960113,9.999999747378752e-05
21,6.113316487699194e-06,0.0008938898681662977,2.192719830418355e-06,0.0007581479148939252,9.999999747378752e-05
22,5.456671115350926e-06,0.0006904531037434936,2.243004655611003e-06,0.000680550467222929,9.999999747378752e-05
23,5.663023298691567e-06,0.0007393498672172427,2.4752603621891465e-06,0.0008022217079997063,9.999999747378752e-05
24,5.581448009353254e-06,0.000731377920601517,2.0035849047417286e-06,0.0006001814035698771,9.999999747378752e-05
25,5.5667455853836145e-06,0.0007330222288146615,2.554862248871359e-06,0.0008648096700198948,9.999999747378752e-05
26,6.324360571044154e-06,0.0009884521132335067,2.8508685772976604e-06,0.0009468829375691712,9.999999747378752e-05
27,6.0755394315492595e-06,0.0009201652719639242,2.750070416368544e-06,0.0009035192779265344,9.999999747378752e-05
28,5.720253366487466e-06,0.0008021004614420235,2.0474532448133686e-06,0.000635161530226469,9.999999747378752e-05
29,5.942802709392305e-06,0.0008818236528895795,2.1709866814489943e-06,0.000726242084056139,9.999999747378752e-05
30,5.899738084735873e-06,0.0008693144773133099,2.7685162422130814e-06,0.0009188217809423804,9.999999747378752e-05
31,5.569128966777094e-06,0.0007423621136695147,2.2476495814771625e-06,0.0006985741201788187,9.999999747378752e-05
32,5.592264844583244e-06,0.0007407902157865465,1.91640283446759e-06,0.0005541635327972472,9.999999747378752e-05
33,5.400084919276398e-06,0.0006610655691474676,1.9650963167805457e-06,0.0006115063442848623,9.999999747378752e-05
34,5.477149354899464e-06,0.0007114881882444024,2.0758952359756224e-06,0.0006629758281633258,9.999999747378752e-05
35,5.795142151833312e-06,0.0008197252755053341,2.3656070425204236e-06,0.0007950378931127489,9.999999747378752e-05
36,5.4619003498778e-06,0.0006960100145079195,1.9052199604630005e-06,0.000566831324249506,9.999999747378752e-05
37,5.4164469879146455e-06,0.0006720790406689048,2.303777591805556e-06,0.0007326278719119728,9.999999747378752e-05
38,5.618688072041146e-06,0.0007630151812918484,2.1854890292161145e-06,0.000721355143468827,9.999999747378752e-05
39,5.4298814815309824e-06,0.0006889082142151892,1.9873039946105565e-06,0.0006117483717389405,9.999999747378752e-05
40,5.373258747769998e-06,0.0006518489681184292,1.931940823851619e-06,0.0005894554778933525,9.999999747378752e-05
41,5.640970041693234e-06,0.0007699944544583559,2.8282857329031684e-06,0.0009372665663249791,9.999999747378752e-05
42,6.2897497628000565e-06,0.0009888719068840146,2.867387047444936e-06,0.0009051378583535552,9.999999747378752e-05
43,5.779043533493677e-06,0.0008055131766013801,1.994256263060379e-06,0.000582520617172122,9.999999747378752e-05
44,5.553153224961231e-06,0.000720262061804533,2.2278491996985395e-06,0.0007483370136469603,9.999999747378752e-05
45,5.819980199501313e-06,0.0008435810450464487,2.4764188310655298e-06,0.0008663141052238643,9.999999747378752e-05
46,8.244418015440007e-06,0.0013323274906724691,1.110464545490686e-05,0.0023723794147372246,9.999999747378752e-05
47,7.785685808256756e-06,0.0012779849348589778,2.159149380531744e-06,0.0006431976216845214,9.999999747378752e-05
48,5.820172721845059e-06,0.0008256330620497465,2.7159983346791705e-06,0.0009257120545953512,9.999999747378752e-05
49,5.543902615398919e-06,0.000733699940610677,2.1473929336934816e-06,0.0006722932448610663,9.999999747378752e-05
50,5.465088690925768e-06,0.0007058921619318426,2.044084521912737e-06,0.000593882636167109,9.999999747378752e-05
51,5.392446306965819e-06,0.0006665954715572298,2.1078574718558228e-06,0.0006201619980856776,9.999999747378752e-05
52,5.331081455197919e-06,0.0006398351979441941,1.8748413822322617e-06,0.0005268498789519072,9.999999747378752e-05
53,5.740081601541331e-06,0.0007906699320301414,2.217805240434245e-06,0.0007543742540292442,9.999999747378752e-05
54,5.405904516919691e-06,0.0006758445524610579,1.9700769371411297e-06,0.0006255240878090262,9.999999747378752e-05
55,5.4083001385960315e-06,0.0006616258760914207,2.945185133285122e-06,0.0009957958245649934,9.999999747378752e-05
56,6.04406920956535e-06,0.0009221801883541048,2.741289972618688e-06,0.0008980381535366178,9.999999747378752e-05
