,loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
2,4.745086837627039e-06,0.0008250931859947741,3.4019169106613846e-06,0.0007809847011230886,9.999999747378752e-05
3,4.722629114439769e-06,0.0008242886979132891,4.287816409487277e-06,0.0010865475051105022,9.999999747378752e-05
4,4.8878707224907376e-06,0.0008734406437724829,3.4908771340269595e-06,0.0008292622515000403,9.999999747378752e-05
5,4.4971154567166295e-06,0.0007342704921029508,3.278982740084757e-06,0.0007189263124018908,9.999999747378752e-05
6,4.488877708455321e-06,0.0007358206785283983,3.1565751669404563e-06,0.0006348472670651972,9.999999747378752e-05
7,4.532981127643628e-06,0.0007630228064954281,3.5664806091517675e-06,0.0008378682541660964,9.999999747378752e-05
8,4.464054856927962e-06,0.0007292259251698852,3.2128318707691506e-06,0.0006720299716107547,9.999999747378752e-05
9,4.430689058507495e-06,0.0007117686909623444,3.24959996760299e-06,0.0007213430944830179,9.999999747378752e-05
10,4.563271065510182e-06,0.0007681635324843228,3.462798849795945e-06,0.0008256854489445686,9.999999747378752e-05
11,4.654046923254403e-06,0.000810518569778651,3.6950945286662317e-06,0.0009077168069779873,9.999999747378752e-05
12,4.958440146967607e-06,0.0009015148389153183,3.5271614706289254e-06,0.0008618643041700125,9.999999747378752e-05
13,4.9527694727657945e-06,0.0009053993271663785,3.4313369724259245e-06,0.0007818558369763196,9.999999747378752e-05
14,4.358001041914071e-06,0.0006964689819142222,3.16504128932138e-06,0.0006969249225221574,9.999999747378752e-05
15,4.545439108167355e-06,0.0007889067637734115,3.3634089959377887e-06,0.0008233804255723953,9.999999747378752e-05
16,4.532054238855683e-06,0.0007968745776452124,3.525407282722881e-06,0.000845500617288053,9.999999747378752e-05
17,4.474022160947142e-06,0.0007594253402203321,3.3510908906464464e-06,0.0007796127465553582,9.999999747378752e-05
18,4.636015710780663e-06,0.0008109548944048584,4.055936824443052e-06,0.0010165704879909754,9.999999747378752e-05
19,4.943776806006402e-06,0.0009616211173124611,3.7254506423778365e-06,0.000985486083664,9.999999747378752e-05
20,4.829115444711836e-06,0.0009302793769165874,3.1695296911493642e-06,0.0006936176214367151,9.999999747378752e-05
21,4.484430607792294e-06,0.0007842020713724196,3.5772070077655373e-06,0.0008767591789364815,9.999999747378752e-05
22,5.114336242210508e-06,0.0009692464955151081,3.325942270748783e-06,0.0008011747268028557,9.999999747378752e-05
23,4.795123737090358e-06,0.000879291445016861,4.179868346909643e-06,0.0010637837694957852,9.999999747378752e-05
24,4.712554944793131e-06,0.0008675454300828278,3.116410880465992e-06,0.0006600426277145743,9.999999747378752e-05
25,4.272529218320011e-06,0.0006897658458910882,3.0856896955810955e-06,0.0006747393636032939,9.999999747378752e-05
26,4.389089111908915e-06,0.0007420715410262346,3.94677181247971e-06,0.001027325983159244,9.999999747378752e-05
27,4.431687746849396e-06,0.0007770651718601584,3.1728982321510557e-06,0.0007566084386780858,9.999999747378752e-05
28,4.360208145549728e-06,0.0007332594832405448,4.06099934480153e-06,0.0010641049593687057,9.999999747378752e-05
29,4.809393279477566e-06,0.000893271469976753,3.3102630368375687e-06,0.000816761632449925,9.999999747378752e-05
30,4.607297645028059e-06,0.0008273954736068845,3.1141384624788772e-06,0.0007268990157172084,9.999999747378752e-05
31,4.707009780860163e-06,0.00087686040205881,3.141315528409905e-06,0.0007082116790115833,9.999999747378752e-05
32,4.252984303497618e-06,0.0006997582386247814,3.3516070288897025e-06,0.0008124507730826735,9.999999747378752e-05
