,loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
0,0.014384078534526957,0.08889829367399216,0.014665484800934792,0.08849236369132996,9.999999747378752e-05
1,0.014357712637219164,0.0888572707772255,0.014744997955858707,0.0886189416050911,9.999999747378752e-05
2,0.014358227658602927,0.08886189013719559,0.014667285047471524,0.08853118121623993,9.999999747378752e-05
3,0.014337309067034058,0.08883550763130188,0.014705316163599491,0.0886341780424118,9.999999747378752e-05
4,0.014339780952367518,0.08883873373270035,0.014644360914826394,0.08847957104444504,9.999999747378752e-05
5,0.01432326663699415,0.08874990791082382,0.014651411958038808,0.08853986114263535,9.999999747378752e-05
6,0.014320303323782153,0.0887458473443985,0.014632525481283664,0.08848192542791367,9.999999747378752e-05
7,0.014317931659105752,0.0887555181980133,0.014604323916137219,0.08841479569673538,9.999999747378752e-05
8,0.014318628495352136,0.08875077217817307,0.014622602239251136,0.08852118253707886,9.999999747378752e-05
9,0.014330910622245736,0.08879448473453522,0.01468586064875126,0.08856002986431122,9.999999747378752e-05
10,0.014348045715855228,0.08881255239248276,0.014673623256385326,0.08857112377882004,9.999999747378752e-05
11,0.01438222039077017,0.08896665275096893,0.014699617959558963,0.08866236358880997,9.999999747378752e-05
12,0.014358491998993687,0.0888855904340744,0.014643649384379388,0.0885104089975357,9.999999747378752e-05
13,0.014360138836006323,0.08888072520494461,0.014656497724354267,0.08851614594459534,9.999999747378752e-05
14,0.014369080877966352,0.08892758190631866,0.014672213979065419,0.08858677744865417,9.999999747378752e-05
15,0.014386272833993038,0.08897709101438522,0.014605474472045899,0.08846136927604675,9.999999747378752e-05
16,0.014381613478892379,0.08894374221563339,0.014646013081073762,0.08852533251047134,9.999999747378752e-05
17,0.014356731281926235,0.0888904556632042,0.014637184888124466,0.08851242810487747,9.999999747378752e-05
18,0.014342594477865431,0.08885565400123596,0.014603658020496369,0.08847489953041077,9.999999747378752e-05
19,0.014375235678421127,0.08894500136375427,0.01466390173882246,0.08863247185945511,9.999999747378752e-05
