,loss,acc,val_loss,val_acc,lr
4,0.03316322571481578,0.9903333187103271,0.0956306823529303,0.9718999862670898,0.0010000000474974513
5,0.027653779683654043,0.9915833473205566,0.10971167389303446,0.9667999744415283,0.0010000000474974513
6,0.021977242570574162,0.9935208559036255,0.08849349298048764,0.9760000109672546,0.0010000000474974513
7,0.016213198184899132,0.9955833554267883,0.11127268144860863,0.967199981212616,0.0010000000474974513
8,0.02560801896858417,0.9915208220481873,0.11157502544112503,0.9679999947547913,0.0010000000474974513
9,0.01653150283424717,0.9950833320617676,0.0928083375073038,0.9736999869346619,0.0010000000474974513
10,0.06641948078540735,0.9793750047683716,0.09963969064876438,0.9713000059127808,0.0010000000474974513
11,0.019345464222472703,0.9949791431427002,0.0903492134064436,0.9729999899864197,0.0010000000474974513
12,0.00785558791612857,0.9989791512489319,0.08142086993902922,0.9765999913215637,0.0010000000474974513
13,0.0037165694494130245,0.999833345413208,0.08207057131920009,0.9771999716758728,0.0010000000474974513
14,0.002005238430501777,0.999958336353302,0.0830430017109029,0.9764999747276306,0.0010000000474974513
15,0.001430251795197061,0.9999791383743286,0.08336705966852605,0.9771000146865845,0.0010000000474974513
16,0.0009636682744712744,1.0,0.08407602235209197,0.9765999913215637,0.0010000000474974513
17,0.0007266419590147658,1.0,0.08457060554530471,0.9776999950408936,0.0010000000474974513
18,0.0005532714705320055,1.0,0.0866848259800463,0.9765999913215637,0.0010000000474974513
19,0.0004187006773615091,1.0,0.08749033788451925,0.977400004863739,0.0010000000474974513
20,0.00031979863327554386,1.0,0.08864879792556167,0.9771000146865845,0.0010000000474974513
21,0.00024492446494453664,1.0,0.09073917063942645,0.9775000214576721,0.0010000000474974513
22,0.00018917399861493323,1.0,0.0917015351500595,0.9772999882698059,0.0010000000474974513
23,0.00014523730426011146,1.0,0.09208316306961933,0.977400004863739,0.0010000000474974513
24,0.0001114628610669873,1.0,0.09514457727898844,0.9775000214576721,0.0010000000474974513
25,8.526552414878097e-05,1.0,0.09511265790119068,0.9772999882698059,0.0010000000474974513
26,6.614583888525279e-05,1.0,0.09750087160267867,0.9775000214576721,0.0010000000474974513
27,5.1161588584136555e-05,1.0,0.0996275345934555,0.9776999950408936,0.0010000000474974513
28,3.9303022833792053e-05,1.0,0.10014564681856428,0.9775000214576721,0.0010000000474974513
29,3.030419273765498e-05,1.0,0.10077408643861417,0.9775000214576721,0.0010000000474974513
30,2.340408482031838e-05,1.0,0.10333989623410161,0.9779000282287598,0.0010000000474974513
31,1.813322545558549e-05,1.0,0.10577160242159152,0.9779000282287598,0.0010000000474974513
32,1.3768427414599198e-05,1.0,0.10645530273613986,0.9782000184059143,0.0010000000474974513
33,1.0694283661412858e-05,1.0,0.10889547289451001,0.9779000282287598,0.0010000000474974513
34,8.213735116176698e-06,1.0,0.10962260156120465,0.978600025177002,0.0010000000474974513
35,6.557246905932365e-06,1.0,0.11113081345265982,0.9778000116348267,0.0010000000474974513
36,4.941081853004903e-06,1.0,0.11404433180898195,0.9782999753952026,0.0010000000474974513
37,3.8390328840639165e-06,1.0,0.11473135748412461,0.9779999852180481,0.0010000000474974513
38,0.08880529575431582,0.9739375114440918,0.12854456182569265,0.9639000296592712,0.0010000000474974513
39,0.05380583432900797,0.9818333387374878,0.10109529566951096,0.9704999923706055,0.0010000000474974513
40,0.022090827227414896,0.9932291507720947,0.09429994237609207,0.973800003528595,0.0010000000474974513
41,0.01184918253456999,0.9966041445732117,0.08555568179115652,0.9760000109672546,0.0010000000474974513
42,0.00955834158048674,0.9974791407585144,0.099337733106222,0.9739000201225281,0.0010000000474974513
43,0.004062491096313655,0.9994375109672546,0.08335370935034007,0.9783999919891357,0.0010000000474974513
44,0.0016505053992356504,0.999958336353302,0.08741780273005134,0.9776999950408936,0.0010000000474974513
45,0.0024785434846762654,0.9995416402816772,0.09754754753783346,0.9757999777793884,0.0010000000474974513
46,0.03904184353183761,0.9867708086967468,0.11443391581065952,0.9675999879837036,0.0010000000474974513
47,0.021684253280909616,0.99239581823349,0.1089544705778826,0.9706000089645386,0.0010000000474974513
48,0.012071632601631185,0.9962291717529297,0.09711527502629906,0.9750000238418579,0.0010000000474974513
49,0.008639189736701762,0.9972500205039978,0.09322617012658156,0.9761000275611877,0.0010000000474974513
50,0.005446298221158941,0.9984791874885559,0.09820652001537383,0.9771000146865845,0.0010000000474974513
51,0.004286834339912578,0.9989583492279053,0.09224086171481759,0.9779999852180481,0.0010000000474974513
52,0.013618997976391257,0.995229184627533,0.13662512220442294,0.9666000008583069,0.0010000000474974513
53,0.01841007388775324,0.9934999942779541,0.10941559587139636,0.9726999998092651,0.0010000000474974513
54,0.01300697890187621,0.9957291483879089,0.10627895316109061,0.9743000268936157,0.0010000000474974513
55,0.008221980266989703,0.9971041679382324,0.10392520382069051,0.974399983882904,0.0010000000474974513
56,0.004084025184996184,0.9990624785423279,0.1040586903199437,0.9764000177383423,0.0010000000474974513
57,0.005386301022402525,0.9985625147819519,0.12198807678185403,0.9703999757766724,0.0010000000474974513
58,0.020205029858516355,0.9925833344459534,0.11063300126930699,0.9728999733924866,0.0010000000474974513
59,0.010679429144299016,0.9963541626930237,0.10339950214372948,0.9758999943733215,0.0010000000474974513
60,0.006166931805516166,0.9980208277702332,0.10178719269577413,0.9747999906539917,0.0010000000474974513
61,0.0025098147668510744,0.9994375109672546,0.09862833879305981,0.9763000011444092,0.0010000000474974513
62,0.0007709134390173252,0.999916672706604,0.09437773516925517,0.9789999723434448,0.0010000000474974513
